Keyword	Pinterest Search URL	Pinterest Trends URL	Status
beach outfits women	https://www.pinterest.com/search/pins/?q=beach+outfits+women&rs=typed	https://trends.pinterest.com/search?country=US&query=beach+outfits+women	
beach vacation outfits	https://www.pinterest.com/search/pins/?q=beach+vacation+outfits&rs=typed	https://trends.pinterest.com/search?country=US&query=beach+vacation+outfits	
beach outfit ideas	https://www.pinterest.com/search/pins/?q=beach+outfit+ideas&rs=typed	https://trends.pinterest.com/search?country=US&query=beach+outfit+ideas	
beach day outfit	https://www.pinterest.com/search/pins/?q=beach+day+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=beach+day+outfit	
cute beach outfits	https://www.pinterest.com/search/pins/?q=cute+beach+outfits&rs=typed	https://trends.pinterest.com/search?country=US&query=cute+beach+outfits	
vacation outfit ideas	https://www.pinterest.com/search/pins/?q=vacation+outfit+ideas&rs=typed	https://trends.pinterest.com/search?country=US&query=vacation+outfit+ideas	
florida vacation outfits	https://www.pinterest.com/search/pins/?q=florida+vacation+outfits&rs=typed	https://trends.pinterest.com/search?country=US&query=florida+vacation+outfits	
island vacation outfits	https://www.pinterest.com/search/pins/?q=island+vacation+outfits&rs=typed	https://trends.pinterest.com/search?country=US&query=island+vacation+outfits	
cute vacation outfits	https://www.pinterest.com/search/pins/?q=cute+vacation+outfits&rs=typed	https://trends.pinterest.com/search?country=US&query=cute+vacation+outfits	
beach aesthetic outfits	https://www.pinterest.com/search/pins/?q=beach+aesthetic+outfits&rs=typed	https://trends.pinterest.com/search?country=US&query=beach+aesthetic+outfits	
summer beach outfit	https://www.pinterest.com/search/pins/?q=summer+beach+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=summer+beach+outfit	
beach outfit inspo	https://www.pinterest.com/search/pins/?q=beach+outfit+inspo&rs=typed	https://trends.pinterest.com/search?country=US&query=beach+outfit+inspo	
boat day outfit summer	https://www.pinterest.com/search/pins/?q=boat+day+outfit+summer&rs=typed	https://trends.pinterest.com/search?country=US&query=boat+day+outfit+summer	
vintage sailor aesthetic	https://www.pinterest.com/search/pins/?q=vintage+sailor+aesthetic&rs=typed	https://trends.pinterest.com/search?country=US&query=vintage+sailor+aesthetic	
sheer poncho outfit	https://www.pinterest.com/search/pins/?q=sheer+poncho+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=sheer+poncho+outfit	
red jelly shoes outfit	https://www.pinterest.com/search/pins/?q=red+jelly+shoes+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=red+jelly+shoes+outfit	
triangle bikini outfit	https://www.pinterest.com/search/pins/?q=triangle+bikini+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=triangle+bikini+outfit	
oversized button down outfit	https://www.pinterest.com/search/pins/?q=oversized+button+down+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=oversized+button+down+outfit	
long linen shorts outfit	https://www.pinterest.com/search/pins/?q=long+linen+shorts+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=long+linen+shorts+outfit	
stripe shirt outfits women	https://www.pinterest.com/search/pins/?q=stripe+shirt+outfits+women&rs=typed	https://trends.pinterest.com/search?country=US&query=stripe+shirt+outfits+women	
polo striped shirt outfit	https://www.pinterest.com/search/pins/?q=polo+striped+shirt+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=polo+striped+shirt+outfit	
sailor hats	https://www.pinterest.com/search/pins/?q=sailor+hats&rs=typed	https://trends.pinterest.com/search?country=US&query=sailor+hats	
boat shoes outfit	https://www.pinterest.com/search/pins/?q=boat+shoes+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=boat+shoes+outfit	
white and blue stripe shirt	https://www.pinterest.com/search/pins/?q=white+and+blue+stripe+shirt&rs=typed	https://trends.pinterest.com/search?country=US&query=white+and+blue+stripe+shirt	
denim jorts outfit	https://www.pinterest.com/search/pins/?q=denim+jorts+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=denim+jorts+outfit	
bedazzled jorts	https://www.pinterest.com/search/pins/?q=bedazzled+jorts&rs=typed	https://trends.pinterest.com/search?country=US&query=bedazzled+jorts	
pleated jorts	https://www.pinterest.com/search/pins/?q=pleated+jorts&rs=typed	https://trends.pinterest.com/search?country=US&query=pleated+jorts	
jorts and cowboy boots	https://www.pinterest.com/search/pins/?q=jorts+and+cowboy+boots&rs=typed	https://trends.pinterest.com/search?country=US&query=jorts+and+cowboy+boots	
vintage jorts	https://www.pinterest.com/search/pins/?q=vintage+jorts&rs=typed	https://trends.pinterest.com/search?country=US&query=vintage+jorts	
jorts jersey outfit	https://www.pinterest.com/search/pins/?q=jorts+jersey+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=jorts+jersey+outfit	
denim patchwork shirt	https://www.pinterest.com/search/pins/?q=denim+patchwork+shirt&rs=typed	https://trends.pinterest.com/search?country=US&query=denim+patchwork+shirt	
patchwork blazer	https://www.pinterest.com/search/pins/?q=patchwork+blazer&rs=typed	https://trends.pinterest.com/search?country=US&query=patchwork+blazer	
patchwork dresses	https://www.pinterest.com/search/pins/?q=patchwork+dresses&rs=typed	https://trends.pinterest.com/search?country=US&query=patchwork+dresses	
patchwork jackets	https://www.pinterest.com/search/pins/?q=patchwork+jackets&rs=typed	https://trends.pinterest.com/search?country=US&query=patchwork+jackets	
flowy capri pants outfit	https://www.pinterest.com/search/pins/?q=flowy+capri+pants+outfit&rs=typed	https://trends.pinterest.com/search?country=US&query=flowy+capri+pants+outfit	
baggy capri pants outfits	https://www.pinterest.com/search/pins/?q=baggy+capri+pants+outfits&rs=typed	https://trends.pinterest.com/search?country=US&query=baggy+capri+pants+outfits	
denim capri pants outfits	https://www.pinterest.com/search/pins/?q=denim+capri+pants+outfits&rs=typed	https://trends.pinterest.com/search?country=US&query=denim+capri+pants+outfits	
capri pants outfits summer	https://www.pinterest.com/search/pins/?q=capri+pants+outfits+summer&rs=typed	https://trends.pinterest.com/search?country=US&query=capri+pants+outfits+summer	
